,avgfee,avgfeerate,avgtxsize,blockhash,height,ins,maxfee,maxfeerate,maxtxsize,medianfee,mediantime,mediantxsize,minfee,minfeerate,mintxsize,outs,subsidy,swtotal_size,swtotal_weight,swtxs,time,total_out,total_size,total_weight,totalfee,txs,utxo_increase,utxo_size_inc
69,13509,33,579,00000000000000000007522a4867596cb71469fb823f0ea63ae44ed89678b1b6,703669,6786,2546496,445,69845,3718,1633430376,247,113,1,188,8147,625000000,1102561,2677570,1683,1633434621,18386970016795,1431081,3991650,33382543,2472,1361,101869
70,1679,6,391,0000000000000000000acdcf6a00712dc52cf70c474c1384338aa1bf5c2b18cc,703670,6815,244600,140,29745,1030,1633430531,225,154,1,188,10224,625000000,1299707,3181139,3202,1633434656,921129205828,1503866,3997775,6449216,3840,3409,253100
71,3027,8,486,0000000000000000000828b0f983e43a85f51587803367bc343299533e91b961,703671,7132,601650,402,32235,775,1633431276,226,141,1,188,6164,625000000,974875,2342473,2079,1633435022,2966172662930,1388653,3997585,8634181,2853,968,70857
72,4953,13,550,000000000000000000001ab6180cab9015764e63f8993d8229a2c732fe83dc3c,703672,7099,541140,400,102326,1243,1633431700,227,170,1,188,7620,625000000,1273975,3055414,2081,1633435945,1567999079356,1509272,3996602,13571635,2741,521,40854
73,7877,24,473,0000000000000000000c1efc6e5b71a064374b5148d572433d12a28e06731c2e,703673,6554,600000,499,90325,2086,1633431737,225,146,1,188,9229,625000000,1152072,2806542,2232,1633437891,17538572375239,1448381,3991778,24113803,3062,2675,197955
74,3805,9,757,0000000000000000000a4f99913767b9c730d9ce77b2d3238a4d7d169a2fd637,703674,6847,756000,313,232021,1030,1633434621,247,189,1,188,6720,625000000,1682861,3515126,1998,1633438189,576274218816,1802049,3991878,9057305,2381,127,9219
75,6255,16,616,0000000000000000000ced5564437dfeb975fe7a7c75dec8d9153d32a44c4d1c,703675,6885,878899,609,113449,1427,1633434656,227,145,1,188,7921,625000000,1373305,3141550,2021,1633439201,8867907958905,1585828,3991642,16096129,2574,1036,78407
76,8296,15,722,000000000000000000095efe8a1c0b7959387a2dd60886d560de011b6b6d156d,703676,4675,500000,1433,59960,1531,1633435022,250,314,1,188,5051,625000000,802516,1772623,1280,1633439577,7998374213826,1357290,3991719,15588468,1880,376,26313
77,3553,9,508,00000000000000000004081ed969c7f73b77c32b2e7316d0d1b8c41c427af60a,703677,7019,641376,506,31199,853,1633435945,226,141,1,188,6881,625000000,1023962,2502359,2021,1633439962,7809619316532,1397441,3996275,9772099,2751,138,9502
78,15969,35,673,00000000000000000005cc581c88e676c5aa6d90b6cf800a2592c7c9b953ebe5,703678,7042,3488400,657,178936,4420,1633437891,226,321,1,188,8169,625000000,1231800,2967627,1552,1633442329,11694359212880,1487890,3991987,35260164,2209,1127,85179
