fees,vsize,time,sats/vbyte
8800,399,2022-06-11 20:54:04-04:00,22
1815,165,2022-06-11 20:54:04-04:00,11
1297,142,2022-06-11 20:54:04-04:00,9
845,111,2022-06-11 20:54:04-04:00,7
423,141,2022-06-11 20:54:04-04:00,3
145,144,2022-06-11 20:54:04-04:00,1
3800,223,2022-06-11 20:54:05-04:00,17
463,231,2022-06-11 20:54:05-04:00,2
180,153,2022-06-11 20:54:05-04:00,1
1420,111,2022-06-11 20:54:07-04:00,12
228,111,2022-06-11 20:54:07-04:00,2
12924,1074,2022-06-11 20:54:08-04:00,12
756,144,2022-06-11 20:54:08-04:00,5
641,113,2022-06-11 20:54:08-04:00,5
2486,223,2022-06-11 20:54:09-04:00,11
14842,1337,2022-06-11 20:54:09-04:00,11
1000,222,2022-06-11 20:54:09-04:00,4
664,166,2022-06-11 20:54:10-04:00,4
419,257,2022-06-11 20:54:10-04:00,1
274,172,2022-06-11 20:54:10-04:00,1
195,190,2022-06-11 20:54:10-04:00,1
1098,208,2022-06-11 20:54:13-04:00,5
5248,336,2022-06-11 20:54:13-04:00,15
2486,224,2022-06-11 20:54:13-04:00,11
829,165,2022-06-11 20:54:14-04:00,5
653,141,2022-06-11 20:54:14-04:00,4
744,279,2022-06-11 20:54:14-04:00,2
4590,1524,2022-06-11 20:54:14-04:00,3
206,202,2022-06-11 20:54:14-04:00,1
136,136,2022-06-11 20:54:14-04:00,1
330,166,2022-06-11 20:54:14-04:00,1
3730,223,2022-06-11 20:54:15-04:00,16
41333,258,2022-06-11 20:54:16-04:00,160
8449,190,2022-06-11 20:54:16-04:00,44
1764,346,2022-06-11 20:54:19-04:00,5
2521,189,2022-06-11 20:54:22-04:00,13
2793,210,2022-06-11 20:54:22-04:00,13
2759,223,2022-06-11 20:54:22-04:00,12
1298,142,2022-06-11 20:54:22-04:00,9
746,142,2022-06-11 20:54:22-04:00,5
1086,222,2022-06-11 20:54:22-04:00,4
419,144,2022-06-11 20:54:22-04:00,2
389,192,2022-06-11 20:54:22-04:00,2
654,631,2022-06-11 20:54:22-04:00,1
2148,179,2022-06-11 20:54:24-04:00,12
3580,358,2022-06-11 20:54:24-04:00,10
6860,188,2022-06-11 20:54:24-04:00,36
5000,208,2022-06-11 20:54:25-04:00,24
746,142,2022-06-11 20:54:25-04:00,5
654,212,2022-06-11 20:54:25-04:00,3
1332,111,2022-06-11 20:54:26-04:00,12
1576,141,2022-06-11 20:54:26-04:00,11
910,153,2022-06-11 20:54:26-04:00,5
143,142,2022-06-11 20:54:28-04:00,1
2027,166,2022-06-11 20:54:30-04:00,12
1066,210,2022-06-11 20:54:30-04:00,5
400,142,2022-06-11 20:54:31-04:00,2
3281,1007,2022-06-11 20:54:32-04:00,3
1305,142,2022-06-11 20:54:32-04:00,9
1305,142,2022-06-11 20:54:32-04:00,9
1350,224,2022-06-11 20:54:32-04:00,6
187,111,2022-06-11 20:54:32-04:00,1
1728,144,2022-06-11 20:54:34-04:00,12
3006,334,2022-06-11 20:54:34-04:00,9
671,144,2022-06-11 20:54:34-04:00,4
1670,279,2022-06-11 20:54:34-04:00,5
364,226,2022-06-11 20:54:35-04:00,1
13488,4496,2022-06-11 20:54:36-04:00,3
336,168,2022-06-11 20:54:36-04:00,2
19500,1623,2022-06-11 20:54:38-04:00,12
573,190,2022-06-11 20:54:38-04:00,3
419,141,2022-06-11 20:54:38-04:00,2
3434,226,2022-06-11 20:54:39-04:00,15
1332,111,2022-06-11 20:54:40-04:00,12
224,223,2022-06-11 20:54:40-04:00,1
8876,528,2022-06-11 20:54:41-04:00,16
1704,142,2022-06-11 20:54:41-04:00,12
3838,340,2022-06-11 20:54:41-04:00,11
2090,181,2022-06-11 20:54:41-04:00,11
7921,709,2022-06-11 20:54:41-04:00,11
7368,1226,2022-06-11 20:54:41-04:00,6
600,222,2022-06-11 20:54:41-04:00,2
2955,241,2022-06-11 20:54:42-04:00,12
5760,192,2022-06-11 20:54:43-04:00,30
1817,168,2022-06-11 20:54:45-04:00,10
3054,314,2022-06-11 20:54:46-04:00,9
3470,346,2022-06-11 20:54:46-04:00,10
6786,521,2022-06-11 20:54:47-04:00,13
1356,113,2022-06-11 20:54:47-04:00,12
206,202,2022-06-11 20:54:47-04:00,1
